ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,POINT_X,POINT_Y,lat,lon,geometry,city_new
2016,9/27/16,2016-09-27T14:20:00Z,Tuesday,ELKO ST,1ST ST,N,N,NA,NA,4,0,1,A,21,B,C,A,H,A,N,N,N,Y,N,0,0,1,0,0,0,0,0,0,GONZALES,-121.43904,36.50685009,36.50685009,-121.43904,"c(-121.43903995, 36.50685009)",Gonzales
2016,9/16/16,2016-09-16T10:42:00Z,Friday,DAVID AV,PINE ST,W,N,NA,NA,4,0,1,A,8,C,E,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9101093,36.61414919,36.61414919,-121.9101093,"c(-121.91010932, 36.61414919)",Monterey
2016,9/8/16,2016-09-08T10:52:00Z,Thursday,68,OLMSTED RD,E,N,68,H,4,0,1,A,4,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8448172,36.58273283,36.58273283,-121.8448172,"c(-121.84481716, 36.58273283)",Monterey
2016,9/7/16,2016-09-07T16:02:00Z,Wednesday,CAMINO AGUAJITO,FREMONT ST,NA,Y,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8825,36.59376001,36.59376001,-121.8825,"c(-121.88249995, 36.59376001)",Monterey
2016,9/10/16,2016-09-10T11:48:00Z,Saturday,HARTNELL ST,POLK ST,S,N,NA,NA,3,0,2,A,3,C,C,A,H,A,N,N,N,N,Y,0,1,1,0,0,0,0,0,0,MONTEREY,-121.8958388,36.59642042,36.59642042,-121.8958388,"c(-121.89583879, 36.59642042)",Monterey
2016,9/2/16,2016-09-02T11:45:00Z,Friday,MUNRAS AV,DEL MONTE CTR M,E,N,NA,NA,4,0,1,A,17,D,G,A,H,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,MONTEREY,NA,NA,0,0,"c(0, 0)",Other Unincorporated
2016,9/22/16,2016-09-22T20:58:00Z,Thursday,IMJIN PKWY,CALIFORNIA AV,W,N,NA,NA,4,0,1,A,9,D,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,-121.7969066,36.66618921,36.66618921,-121.7969066,"c(-121.79690656, 36.66618921)",Marina
2016,9/13/16,2016-09-13T11:52:00Z,Tuesday,RESERVATION RD,RESERVATION RD 267,NA,Y,NA,NA,4,0,1,B,22,C,C,A,G,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,NA,NA,0,0,"c(0, 0)",Other Unincorporated
2016,9/13/16,2016-09-13T18:55:00Z,Tuesday,DEL MONTE AV,CORTES ST,W,N,NA,NA,4,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,MONTEREY,-121.8891034,36.60010126,36.60010126,-121.8891034,"c(-121.88910342, 36.60010126)",Monterey
2017,3/3/17,2017-03-03T12:20:00Z,Friday,HITCHCOCK RD.,DAVIS RD.,NA,Y,NA,NA,4,0,2,A,12,D,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,UNINCORPORATED,-121.692,36.6587101,36.6587101,-121.692,"c(-121.69199996, 36.6587101)",Other Unincorporated
2017,3/13/17,2017-03-13T08:49:00Z,Monday,CARMEL VALLEY ROAD,RANCHO SAN CARLOS ROAD,W,N,NA,NA,4,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,UNINCORPORATED,-121.8723618,36.53988349,36.53988349,-121.8723618,"c(-121.87236179, 36.53988349)",Other Unincorporated
2017,3/14/17,2017-03-14T08:15:00Z,Tuesday,1,SR-68 (SALINAS) O/C,N,N,1,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8665861,36.59677484,36.59677484,-121.8665861,"c(-121.86658605, 36.59677484)",Monterey
2017,3/11/17,2017-03-11T17:05:00Z,Saturday,SAN MIGUEL CANYON ROAD,CASTROVILLE BLVD.,E,N,NA,NA,2,0,1,A,8,A,C,A,H,A,N,N,N,N,N,1,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.6705379,36.80740836,36.80740836,-121.6705379,"c(-121.67053794, 36.80740836)",Other Unincorporated
2017,3/15/17,2017-03-15T06:45:00Z,Wednesday,101,REESE CIRCLE,NA,Y,101,NA,4,0,1,A,3,F,A,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.6691136,36.77225696,36.77225696,-121.6691136,"c(-121.66911364, 36.77225696)",Other Unincorporated
2017,3/13/17,2017-03-13T17:30:00Z,Monday,BLACKIE RD,BORROMEO DR,W,N,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,Y,N,N,0,0,1,0,0,0,0,0,1,UNINCORPORATED,-121.6777798,36.77526001,36.77526001,-121.6777798,"c(-121.67777981, 36.77526001)",Other Unincorporated
2017,2/18/17,2017-02-18T16:00:00Z,Saturday,101,THORNE ROAD,N,N,101,NA,1,1,0,A,1,E,I,A,H,A,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.2573072,36.34168915,36.34168915,-121.2573072,"c(-121.25730724, 36.34168915)",Other Unincorporated
2017,3/11/17,2017-03-11T15:00:00Z,Saturday,1,FREMONT ST. (SEASIDE),S,N,1,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8431559,36.62378341,36.62378341,-121.8431559,"c(-121.84315592, 36.62378341)",Sand City
2017,3/11/17,2017-03-11T03:15:00Z,Saturday,101,MALLORY CYN RD.,N,N,101,NA,3,0,1,A,3,C,C,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.6369699,36.81623481,36.81623481,-121.6369699,"c(-121.63696992, 36.81623481)",Other Unincorporated
2017,3/12/17,2017-03-12T14:55:00Z,Sunday,POLLOCK LN.,PESANTE RD.,S,N,NA,NA,3,0,1,A,8,F,A,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.6631248,36.77650674,36.77650674,-121.6631248,"c(-121.66312478, 36.77650674)",Other Unincorporated
2017,3/13/17,2017-03-13T09:00:00Z,Monday,68,PORTOLA ROAD,W,N,68,NA,2,0,1,A,3,C,C,A,H,A,N,N,N,N,N,1,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.6934854,36.60680354,36.60680354,-121.6934854,"c(-121.69348536, 36.60680354)",Other Unincorporated
2016,9/12/16,2016-09-12T16:34:00Z,Monday,NORTH FREMONT ST,CASANOVA AV,E,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8531009,36.59770521,36.59770521,-121.8531009,"c(-121.85310089, 36.59770521)",Monterey
2016,8/20/16,2016-08-20T16:17:00Z,Saturday,183,STONE ST,W,N,183,H,4,0,1,A,10,B,B,E,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,SALINAS,-121.6594648,36.67885314,36.67885314,-121.6594648,"c(-121.65946484, 36.67885314)",Salinas
2016,8/16/16,2016-08-17T01:00:00Z,Tuesday,LIGHTHOUSE AV,HOFFMAN AV,N,N,NA,NA,4,0,1,A,10,G,B,E,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,MONTEREY,-121.9018451,36.61371852,36.61371852,-121.9018451,"c(-121.90184508, 36.61371852)",Monterey
2016,8/16/16,2016-08-16T14:23:00Z,Tuesday,ABBOTT ST,EAST BLANCO RD,NA,Y,NA,NA,4,0,1,A,8,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6358399,36.65725005,36.65725005,-121.6358399,"c(-121.63583989, 36.65725005)",Salinas
2016,8/23/16,2016-08-23T16:40:00Z,Tuesday,TOWT ST,ACOSTA ST,NA,Y,NA,NA,3,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.61692,36.67964008,36.67964008,-121.61692,"c(-121.61691997, 36.67964008)",Salinas
2016,8/26/16,2016-08-26T07:14:00Z,Friday,SHERWOOD DR,EAST MARKET ST,N,N,NA,NA,4,0,1,A,3,-,C,A,-,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.65002,36.67837747,36.67837747,-121.65002,"c(-121.65002, 36.67837747)",Salinas
2016,9/19/16,2016-09-19T13:54:00Z,Monday,JOHN ST,SPRING ST,NA,Y,NA,NA,4,0,3,A,7,B,C,A,H,A,N,N,N,N,N,0,0,3,0,0,0,0,0,0,SALINAS,-121.64578,36.66975006,36.66975006,-121.64578,"c(-121.64577995, 36.66975006)",Salinas
2016,9/30/16,2016-09-30T04:49:00Z,Friday,ABBOTT ST,MERRILL ST,NA,Y,NA,NA,4,0,2,A,9,D,C,A,H,C,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6315999,36.65547006,36.65547006,-121.6315999,"c(-121.63159994, 36.65547006)",Salinas
2016,9/15/16,2016-09-15T07:59:00Z,Thursday,CONSTITUTION,LAS CASITAS,NA,Y,NA,NA,3,0,2,A,8,F,I,A,H,A,N,N,N,N,N,0,2,0,0,0,0,0,0,0,SALINAS,-121.6125899,36.69878004,36.69878004,-121.6125899,"c(-121.61258991, 36.69878004)",Salinas
2016,9/7/16,2016-09-07T06:42:00Z,Wednesday,JOHN ST,E ALISAL ST,W,N,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6199855,36.67198045,36.67198045,-121.6199855,"c(-121.6199855, 36.67198045)",Salinas
2016,9/15/16,2016-09-15T07:39:00Z,Thursday,WEST MARKET ST,CLARK ST,NA,Y,NA,NA,4,0,2,A,9,D,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6708599,36.68331006,36.68331006,-121.6708599,"c(-121.67085988, 36.68331006)",Salinas
2016,9/17/16,2016-09-17T14:58:00Z,Saturday,NORTH DAVIS RD,BORONDA CROSSING LN,NA,Y,NA,NA,3,0,4,A,12,D,C,A,H,A,N,N,N,N,N,0,3,1,0,0,0,0,0,0,SALINAS,-121.6670499,36.72021008,36.72021008,-121.6670499,"c(-121.66704993, 36.72021008)",Salinas
2017,3/16/17,2017-03-16T00:40:00Z,Thursday,101,SALA RD.,NA,Y,101,NA,4,0,1,A,3,E,I,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.6603938,36.74358723,36.74358723,-121.6603938,"c(-121.66039379, 36.74358723)",Other Unincorporated
2017,3/14/17,2017-03-14T18:50:00Z,Tuesday,1,SR-68,S,N,1,NA,3,0,1,A,7,B,C,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.8731089,36.59395494,36.59395494,-121.8731089,"c(-121.87310889, 36.59395494)",Monterey
2017,3/14/17,2017-03-14T18:00:00Z,Tuesday,1,FREMONT BOULEVARD,N,N,1,NA,4,0,1,A,3,C,C,A,H,A,N,N,Y,N,N,0,0,1,0,0,0,0,0,1,SEASIDE,-121.8375216,36.6288668,36.6288668,-121.8375216,"c(-121.83752156, 36.6288668)",Seaside
2017,3/16/17,2017-03-16T15:40:00Z,Thursday,HARRIS RD.,ABBOTT ST.,S,N,NA,NA,3,0,1,A,6,B,C,A,H,A,N,N,N,Y,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.6230301,36.63252363,36.63252363,-121.6230301,"c(-121.62303008, 36.63252363)",Other Unincorporated
2017,3/16/17,2017-03-16T12:07:00Z,Thursday,SAN JUAN RD,SALINAS RD,W,N,NA,NA,3,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,UNINCORPORATED,-121.7487578,36.90449563,36.90449563,-121.7487578,"c(-121.7487578, 36.90449563)",Pajaro
2017,3/17/17,2017-03-17T07:30:00Z,Friday,PINE HILLS DRIVE,OUTLOOK  DRIVE,N,N,NA,NA,3,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.8937267,36.56013506,36.56013506,-121.8937267,"c(-121.89372674, 36.56013506)",Other Unincorporated
2017,3/17/17,2017-03-17T12:50:00Z,Friday,SALINAS RD,WERNER RD,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.7514,36.87827003,36.87827003,-121.7514,"c(-121.75139999, 36.87827003)",Royal Oaks
2017,3/18/17,2017-03-18T14:43:00Z,Saturday,101,WILD HORSE RD,S,N,101,NA,4,0,1,A,8,F,A,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.0640752,36.17906056,36.17906056,-121.0640752,"c(-121.06407519, 36.17906056)",Other Unincorporated
2017,3/19/17,2017-03-19T18:50:00Z,Sunday,METZ RD.,BLUE JAY LN.,S,N,NA,NA,4,0,1,A,8,F,A,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.2449622,36.38399272,36.38399272,-121.2449622,"c(-121.24496219, 36.38399272)",Other Unincorporated
2016,7/3/16,2016-07-03T22:40:00Z,Sunday,101,CAMPHORA GLORIA O/C,S,N,101,NA,2,0,1,C,18,H,A,A,H,D,N,N,N,N,Y,1,0,0,0,0,0,0,0,0,UNINCORPORATED,-121.3558731,36.44402173,36.44402173,-121.3558731,"c(-121.35587311, 36.44402173)",Other Unincorporated
2017,3/14/17,2017-03-14T15:30:00Z,Tuesday,RANCHO SAUCITO LANE,SOUTH BOUNDRY ROAD,NA,Y,NA,NA,4,0,1,A,9,B,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,DEL REY OAKS,NA,NA,0,0,"c(0, 0)",Other Unincorporated
2017,3/14/17,2017-03-14T18:12:00Z,Tuesday,1,STRUVE ROAD,S,N,1,NA,3,0,1,A,1,F,C,A,H,A,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.7710613,36.83078785,36.83078785,-121.7710613,"c(-121.7710613, 36.83078785)",Moss Landing
2017,3/22/17,2017-03-22T06:30:00Z,Wednesday,MESA VERDE RD,FIRST STREET,S,N,NA,NA,4,0,1,A,3,D,C,A,H,D,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.1115007,36.19934747,36.19934747,-121.1115007,"c(-121.11150071, 36.19934747)",King City
2017,3/21/17,2017-03-21T10:50:00Z,Tuesday,101,SALA RD O/C,S,N,101,NA,4,0,1,A,3,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.659989,36.74251246,36.74251246,-121.659989,"c(-121.65998895, 36.74251246)",Other Unincorporated
2017,3/17/17,2017-03-17T17:30:00Z,Friday,68,YORK RD.,E,N,68,NA,4,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,UNINCORPORATED,-121.8055177,36.57094999,36.57094999,-121.8055177,"c(-121.80551768, 36.57094999)",Other Unincorporated
2017,3/21/17,2017-03-21T10:08:00Z,Tuesday,101,LAUREL DR O/C,S,N,101,R,4,0,1,A,3,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.66412,36.69755,36.69755,-121.66412,"c(-121.66412, 36.69755)",Salinas
2017,3/12/17,2017-03-12T04:25:00Z,Sunday,101,PESANTE ROAD,N,N,101,NA,3,0,1,A,8,E,A,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.6696177,36.77714147,36.77714147,-121.6696177,"c(-121.66961773, 36.77714147)",Other Unincorporated
2017,3/12/17,2017-03-12T00:43:00Z,Sunday,101,BRADLEY RD.,N,N,101,NA,3,0,1,A,8,E,I,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-120.7560232,35.81793504,35.81793504,-120.7560232,"c(-120.75602316, 35.81793504)",Parkfield
2017,3/18/17,2017-03-18T23:47:00Z,Saturday,CENTRAL AVE,KENNER RD,S,N,NA,NA,3,0,1,A,1,F,A,A,H,D,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,UNINCORPORATED,NA,NA,0,0,"c(0, 0)",Other Unincorporated
2017,3/22/17,2017-03-22T09:00:00Z,Wednesday,1,AGUAJITO ROAD,E,N,1,R,4,0,5,A,3,C,C,A,H,A,N,N,N,N,N,0,0,5,0,0,0,0,0,0,MONTEREY,-121.88192,36.59367,36.59367,-121.88192,"c(-121.88192, 36.59367)",Monterey
2017,3/17/17,2017-03-17T20:39:00Z,Friday,101,CRAZY HORSE CANYON ROAD,S,N,101,NA,3,0,4,A,7,F,A,A,H,D,N,N,N,N,N,0,1,3,0,0,0,0,0,0,UNINCORPORATED,-121.6343085,36.81756017,36.81756017,-121.6343085,"c(-121.63430852, 36.81756017)",Other Unincorporated
2017,3/21/17,2017-03-21T08:20:00Z,Tuesday,ELKHORN RD,SALINAS RD,S,N,NA,NA,3,0,1,A,3,B,C,A,H,A,N,N,N,Y,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,-121.7468248,36.88272333,36.88272333,-121.7468248,"c(-121.74682479, 36.88272333)",Royal Oaks
2017,3/20/17,2017-03-20T22:00:00Z,Monday,SR-1 SOUTHBOUND,MUNRAS AVE UNDERCROSSING,S,N,NA,NA,3,0,1,A,3,E,I,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,UNINCORPORATED,NA,NA,0,0,"c(0, 0)",Other Unincorporated
2017,3/22/17,2017-03-22T04:55:00Z,Wednesday,101,REESE CIR.,S,N,101,NA,4,0,1,A,3,E,I,A,H,D,N,N,N,N,N,0,0,1,0,0,0,0,0,0,UNINCORPORATED,-121.6686983,36.76806342,36.76806342,-121.6686983,"c(-121.66869831, 36.76806342)",Other Unincorporated
