X1,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,lon,lat,geometry,city_new
2246,2014,9/10/14,2014-09-10T07:00:00Z,Wednesday,DAVIS RD,MARKET ST,N,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6745244,36.68486985,"c(-121.6745244, 36.68486985)",Other Unincorporated
2247,2014,9/12/14,2014-09-12T13:15:00Z,Friday,BLANCO RD,COOPER RD,W,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.7439949,36.67836219,"c(-121.7439949, 36.67836219)",Other Unincorporated
2248,2014,9/9/14,2014-09-09T05:37:00Z,Tuesday,101,OLD STAGE RD,S,N,101,H,4,0,2,A,3,C,C,A,H,D,N,N,N,N,N,0,0,2,0,0,0,0,0,0,GONZALES,-121.4608723,36.5231259,"c(-121.4608723, 36.5231259)",Other Unincorporated
2249,2014,9/23/14,2014-09-23T08:59:00Z,Tuesday,IMJIN PKWY,ABRAMS DR,W,N,NA,NA,4,0,1,A,3,C,C,A,D,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,-121.7947336,36.66480482,"c(-121.7947336, 36.66480482)",Marina
2250,2014,9/14/14,2014-09-14T22:50:00Z,Sunday,MESA VERDE RD,1ST ST,S,N,NA,NA,4,0,1,A,8,E,J,A,NA,NA,N,N,N,N,N,0,0,1,0,0,0,0,0,0,KING CITY,-121.1115007,36.19934747,"c(-121.1115007, 36.19934747)",King City
2251,2014,9/18/14,2014-09-18T11:28:00Z,Thursday,101,S GREENFIELD,S,N,101,H,3,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,GREENFIELD,-121.2274119,36.30742261,"c(-121.2274119, 36.30742261)",Other Unincorporated
2252,2014,9/7/14,2014-09-07T02:05:00Z,Sunday,CHOLAME RD,PARKFIELD CEMETERY RD,S,N,NA,NA,2,0,1,C,18,A,H,A,H,D,N,N,Y,N,N,1,0,0,0,0,0,0,0,1,PARKFIELD,-120.3810491,35.84070315,"c(-120.3810491, 35.84070315)",Parkfield
2253,2014,8/15/14,2014-08-15T05:50:00Z,Friday,WILLOW RD,HALL RD,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,B,N,N,N,N,N,0,0,1,0,0,0,0,0,0,ROYAL OAKS,-121.7350599,36.86567009,"c(-121.7350599, 36.86567009)",Royal Oake
2254,2014,8/14/14,2014-08-14T16:12:00Z,Thursday,68,SAN BENANCIO RD,W,N,68,H,2,0,1,A,8,C,C,A,H,A,N,N,Y,N,N,1,0,0,0,0,0,0,0,1,SALINAS,-121.7217075,36.5793506,"c(-121.7217075, 36.5793506)",Other Unincorporated
2255,2014,8/17/14,2014-08-17T06:55:00Z,Sunday,1,TIOGA AV,N,N,1,H,4,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SAND CITY,-121.8469563,36.62046084,"c(-121.8469563, 36.62046084)",Sand City
2256,2014,8/15/14,2014-08-15T00:15:00Z,Friday,JOSSELYN CANYON RD,MARK THOMAS DR,E,N,NA,NA,4,0,1,A,1,E,I,A,H,D,N,N,N,N,Y,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8707967,36.58914749,"c(-121.8707967, 36.58914749)",Monterey
2257,2014,8/14/14,2014-08-14T16:15:00Z,Thursday,1,POINT LOBOS,S,N,1,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CARMEL,-121.9368239,36.5158727,"c(-121.9368239, 36.5158727)",Other Unincorporated
2258,2014,8/7/14,2014-08-07T15:55:00Z,Thursday,1,ANDREW MOLERA STATE PK,S,N,1,H,4,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CARMEL,-121.8415431,36.28667698,"c(-121.8415431, 36.28667698)",Other Unincorporated
2259,2014,8/9/14,2014-08-09T12:30:00Z,Saturday,68,SAN BENANCIO RD,E,N,68,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.7203441,36.57999274,"c(-121.7203441, 36.57999274)",Other Unincorporated
2260,2014,8/20/14,2014-08-20T07:45:00Z,Wednesday,BLANCO RD,HITCHCOCK RD,E,N,NA,NA,4,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6929032,36.6711031,"c(-121.6929032, 36.6711031)",Other Unincorporated
2261,2014,8/20/14,2014-08-20T05:36:00Z,Wednesday,1,STRUVE RD,N,N,1,H,4,0,2,A,3,C,C,A,H,D,N,N,N,N,N,0,0,2,0,0,0,0,0,0,ROYAL OAKS,-121.7709928,36.83213638,"c(-121.7709928, 36.83213638)",Royal Oake
2262,2014,8/10/14,2014-08-10T05:35:00Z,Sunday,101,PRUNEDALE SOUTH RD,S,N,101,H,3,0,1,A,1,E,I,A,H,A,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SALINAS,-121.668314,36.78634745,"c(-121.668314, 36.78634745)",Other Unincorporated
2263,2014,8/9/14,2014-08-09T06:45:00Z,Saturday,CARPENTERIA RD,SAN JUAN RD,N,N,NA,NA,3,0,1,A,8,E,I,A,H,B,N,N,N,N,N,0,1,0,0,0,0,0,0,0,AROMAS,-121.6522635,36.86128681,"c(-121.6522635, 36.86128681)",Other Unincorporated
2264,2014,8/6/14,2014-08-06T21:30:00Z,Wednesday,N SANBORN,GARNER,NA,Y,NA,NA,3,0,1,A,10,G,B,B,H,C,Y,N,N,N,N,0,1,0,0,1,0,0,0,0,SALINAS,-121.6151399,36.68621007,"c(-121.6151399, 36.68621007)",Salinas
2265,2014,8/10/14,2014-08-10T13:51:00Z,Sunday,BORONDA RD,NATIVIDAD RD,E,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6217261,36.71540697,"c(-121.6217261, 36.71540697)",Salinas
2266,2014,8/9/14,2014-08-09T17:01:00Z,Saturday,NORTH DAVIS RD,BRONDA CROSSING PL,N,N,NA,NA,4,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,SALINAS,-121.6656789,36.72115075,"c(-121.6656789, 36.72115075)",Salinas
2267,2014,8/21/14,2014-08-21T21:20:00Z,Thursday,NORTH SANBORN RD,DEL MONTE AV,S,N,NA,NA,4,0,1,A,1,C,C,A,H,C,N,N,N,N,Y,0,0,1,0,0,0,0,0,0,SALINAS,-121.6113732,36.68833844,"c(-121.6113732, 36.68833844)",Salinas
2268,2014,8/22/14,2014-08-22T17:57:00Z,Friday,JOHN ST,MEADOW DR,NA,Y,NA,NA,4,0,2,A,1,D,C,A,H,A,N,N,N,N,Y,0,0,2,0,0,0,0,0,0,SALINAS,-121.6352899,36.67031003,"c(-121.6352899, 36.67031003)",Salinas
2269,2014,8/18/14,2014-08-18T09:07:00Z,Monday,E ALISAL,PAJARO ST,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6525599,36.67412,"c(-121.6525599, 36.67412)",Salinas
2270,2014,8/20/14,2014-08-20T04:49:00Z,Wednesday,SOUTH SANBORN RD,ABBOTT ST,E,N,NA,NA,4,0,1,A,3,C,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6356141,36.65758883,"c(-121.6356141, 36.65758883)",Salinas
2271,2014,8/18/14,2014-08-18T06:21:00Z,Monday,NORTH MAIN ST,RUSSELL RD,S,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.65625,36.73388228,"c(-121.65625, 36.73388228)",Other Unincorporated
2272,2014,8/21/14,2014-08-21T15:15:00Z,Thursday,NORTH MAIN ST,SANTA CLARA ST,NA,Y,NA,NA,4,0,1,A,3,D,G,A,H,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,SALINAS,-121.6524099,36.68797009,"c(-121.6524099, 36.68797009)",Salinas
2273,2014,8/20/14,2014-08-20T10:26:00Z,Wednesday,ABBOTT ST,MALARIN ST,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6417,36.66238001,"c(-121.6417, 36.66238001)",Salinas
2274,2014,8/27/14,2014-08-27T07:55:00Z,Wednesday,SAN JUAN GRADE RD,RUSSELL RD,NA,Y,NA,NA,4,0,1,A,9,A,G,A,H,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,SALINAS,-121.6410899,36.73016006,"c(-121.6410899, 36.73016006)",Salinas
2275,2014,8/28/14,2014-08-28T09:10:00Z,Thursday,183,ROSSI,S,N,183,H,3,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.6539785,36.68108945,"c(-121.6539785, 36.68108945)",Salinas
2276,2014,9/12/14,2014-09-12T11:35:00Z,Friday,101,ESPERANZA RD,S,N,101,H,4,0,1,A,8,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.5326781,36.58330702,"c(-121.5326781, 36.58330702)",Other Unincorporated
2277,2014,9/13/14,2014-09-13T21:40:00Z,Saturday,FANOE RD,ASSOCIATED LN,S,N,NA,NA,3,0,1,A,1,E,I,A,H,D,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,GONZALES,-121.44851,36.5315,"c(-121.44851, 36.5315)",Other Unincorporated
2278,2014,9/12/14,2014-09-12T19:40:00Z,Friday,ELKHORN RD,WALKER VALLEY RD,N,N,NA,NA,2,0,1,A,1,F,A,A,H,D,N,N,N,N,Y,1,0,0,0,0,0,0,0,0,ROYAL OAKS,-121.7239515,36.81560502,"c(-121.7239515, 36.81560502)",Royal Oake
2279,2014,9/11/14,2014-09-11T05:55:00Z,Thursday,SALINAS RD,TRAFTON RD,NA,Y,NA,NA,4,0,1,A,7,B,C,A,H,D,N,N,N,N,N,0,0,1,0,0,0,0,0,0,ROYAL OAKS,-121.74711,36.88679001,"c(-121.74711, 36.88679001)",Royal Oake
2280,2014,8/18/14,2014-08-18T16:30:00Z,Monday,68,DAVID AV,N,N,68,H,4,0,1,B,22,F,G,A,H,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,PACIFIC GROVE,-121.9224134,36.60771059,"c(-121.9224134, 36.60771059)",Pacific Grove
2281,2014,9/22/14,2014-09-22T11:32:00Z,Monday,PRESCOTT AV,FOAM ST,NA,Y,NA,NA,2,0,3,A,12,D,C,A,H,A,N,N,N,N,N,1,0,2,0,0,0,0,0,0,MONTEREY,-121.9018399,36.6151601,"c(-121.9018399, 36.6151601)",Monterey
2282,2014,8/23/14,2014-08-23T14:39:00Z,Saturday,FREMONT BL,CHARLES AV,NA,Y,NA,NA,3,0,3,A,3,C,C,A,H,A,N,N,N,N,N,0,1,2,0,0,0,0,0,0,SEASIDE,-121.8499999,36.60006003,"c(-121.8499999, 36.60006003)",Seaside
2283,2014,9/5/14,2014-09-05T18:25:00Z,Friday,SALINAS RD,JONATHAN ST,N,N,NA,NA,4,0,3,A,3,C,C,A,H,B,N,N,N,N,Y,0,0,3,0,0,0,0,0,0,PAJARO,-121.7481747,36.90088858,"c(-121.7481747, 36.90088858)",Pajaro
2284,2014,9/3/14,2014-09-03T17:50:00Z,Wednesday,ENCINAL RD,OLD STAGE RD,E,N,NA,NA,3,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,CHUALAR,-121.5084784,36.62016957,"c(-121.5084784, 36.62016957)",Chualar
2285,2014,9/3/14,2014-09-03T14:24:00Z,Wednesday,PESANTE RD,POLLOCK LN,W,N,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.66633,36.77633154,"c(-121.66633, 36.77633154)",Other Unincorporated
2286,2014,9/7/14,2014-09-07T17:37:00Z,Sunday,SAN JUAN GRADE RD,CRAZY HORSE CANYON RD,N,N,NA,NA,4,0,2,A,8,E,I,A,H,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,PRUNEDALE,-121.57497,36.81794,"c(-121.57497, 36.81794)",Other Unincorporated
2287,2014,9/7/14,2014-09-07T21:04:00Z,Sunday,101,BERTA CANYON RD,S,N,101,H,3,0,5,A,3,C,C,A,H,D,N,N,N,N,N,0,1,4,0,0,0,0,0,0,SALINAS,-121.667958,36.7873349,"c(-121.667958, 36.7873349)",Other Unincorporated
2288,2014,9/8/14,2014-09-08T14:20:00Z,Monday,RIVER RD,LOS PALMAS PKWY,S,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6429172,36.60657197,"c(-121.6429172, 36.60657197)",Other Unincorporated
2289,2014,9/8/14,2014-09-08T06:50:00Z,Monday,OLD STAGE RD,SPENCE RD,S,N,NA,NA,4,0,1,A,8,NA,NA,A,H,B,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.5389509,36.62955385,"c(-121.5389509, 36.62955385)",Other Unincorporated
2290,2014,9/7/14,2014-09-07T13:45:00Z,Sunday,1,ROCKY POINT RD,S,N,1,H,4,0,3,A,3,C,C,A,H,A,N,N,N,N,N,0,0,3,0,0,0,0,0,0,CARMEL,-121.9090416,36.40290379,"c(-121.9090416, 36.40290379)",Other Unincorporated
2291,2014,9/7/14,2014-09-07T01:40:00Z,Sunday,1,RESERVATION RD,N,N,1,H,4,0,1,A,8,E,I,A,H,D,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,-121.8048793,36.6972043,"c(-121.8048793, 36.6972043)",Marina
2292,2014,9/14/14,2014-09-14T02:25:00Z,Sunday,101,NORTH MAIN ST,N,N,101,R,2,0,1,A,1,F,A,A,H,C,N,N,Y,N,Y,1,0,0,0,0,0,0,0,1,SALINAS,-121.6555723,36.6888605,"c(-121.6555723, 36.6888605)",Salinas
2293,2014,7/21/14,2014-07-21T00:12:00Z,Monday,MYRTLE ST,CIRCLE DR,NA,Y,NA,NA,3,0,1,A,1,E,I,A,H,C,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SALINAS,-121.6232199,36.67904004,"c(-121.6232199, 36.67904004)",Salinas
2294,2014,7/6/14,2014-07-06T11:30:00Z,Sunday,101,DUNBARTON RD,S,N,101,H,4,0,1,A,4,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6343,36.84478,"c(-121.6343, 36.84478)",Other Unincorporated
2295,2014,9/6/14,2014-09-06T04:35:00Z,Saturday,AVENIDA PRINCIPAL,CUESTA VERDE,NA,Y,NA,NA,3,0,1,A,9,D,C,A,H,C,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.7372999,36.56631006,"c(-121.7372999, 36.56631006)",Other Unincorporated
2296,2014,9/5/14,2014-09-05T14:06:00Z,Friday,101,MALLORY CANYON RD,S,N,101,H,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6416347,36.81321938,"c(-121.6416347, 36.81321938)",Other Unincorporated
2297,2014,9/5/14,2014-09-05T18:06:00Z,Friday,1,IMJIN PKWY,S,N,1,H,3,0,1,A,8,E,I,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SEASIDE,-121.8165962,36.64632065,"c(-121.8165962, 36.64632065)",Seaside
2298,2014,8/5/14,2014-08-05T18:53:00Z,Tuesday,FREMONT BL,SAN PABLO AV,N,N,NA,NA,4,0,1,A,8,B,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8425888,36.61516499,"c(-121.8425888, 36.61516499)",Seaside
2299,2014,8/27/14,2014-08-27T07:30:00Z,Wednesday,1,FREMONT BL,N,N,1,H,2,0,2,A,8,C,C,A,H,A,N,N,Y,N,N,1,1,0,0,0,0,0,0,2,SEASIDE,-121.834252,36.6327262,"c(-121.834252, 36.6327262)",Seaside
2300,2014,9/16/14,2014-09-16T15:05:00Z,Tuesday,SHERWOOD DR,CALLE CEBU,S,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6502498,36.67965914,"c(-121.6502498, 36.67965914)",Salinas
2301,2014,9/12/14,2014-09-12T05:23:00Z,Friday,101,RT 146,N,N,101,H,3,0,1,A,3,B,C,A,H,D,N,N,N,Y,N,0,1,0,0,0,0,0,0,0,SOLEDAD,-121.3253347,36.42143873,"c(-121.3253347, 36.42143873)",Other Unincorporated
2302,2014,9/12/14,2014-09-12T05:20:00Z,Friday,101,RT 146,N,N,101,H,4,0,2,A,8,E,I,A,H,D,N,N,N,Y,N,0,0,2,0,0,0,0,0,0,SOLEDAD,-121.3259064,36.42171304,"c(-121.3259064, 36.42171304)",Other Unincorporated
2303,2014,9/14/14,2014-09-14T16:28:00Z,Sunday,RUSSELL RD,NORTH MAIN ST,E,N,NA,NA,4,0,1,A,8,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6524518,36.73303526,"c(-121.6524518, 36.73303526)",Salinas
2304,2014,9/16/14,2014-09-16T19:05:00Z,Tuesday,ALISAL RD,HARTNELL RD,N,N,NA,NA,3,0,3,A,3,C,C,A,H,A,N,N,N,Y,N,0,2,1,0,0,0,0,0,0,SALINAS,-121.5809645,36.65009595,"c(-121.5809645, 36.65009595)",Other Unincorporated
2305,2014,9/12/14,2014-09-12T05:15:00Z,Friday,101,RT 146,N,N,101,H,4,0,1,A,3,E,I,A,H,D,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SOLEDAD,-121.3257621,36.42191323,"c(-121.3257621, 36.42191323)",Other Unincorporated
2306,2014,8/23/14,2014-08-23T14:04:00Z,Saturday,SOUTH MAIN ST,STEPHANIE DR,NA,Y,NA,NA,3,0,3,A,9,A,C,A,H,A,N,N,N,N,N,0,3,0,0,0,0,0,0,0,SALINAS,-121.6608099,36.65386002,"c(-121.6608099, 36.65386002)",Salinas
2307,2014,8/25/14,2014-08-25T07:47:00Z,Monday,SAN VINCENTE AV,COLLEGE DR,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6684099,36.67000001,"c(-121.6684099, 36.67000001)",Salinas
2308,2014,8/23/14,2014-08-23T07:10:00Z,Saturday,E ALISAL,PAJARO ST,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6525599,36.67412,"c(-121.6525599, 36.67412)",Salinas
2309,2014,8/23/14,2014-08-23T12:47:00Z,Saturday,NORTH MAIN ST,CHEROKEE DR,N,N,NA,NA,3,0,5,A,1,A,C,A,H,A,N,N,N,N,N,0,2,3,0,0,0,0,0,0,SALINAS,-121.6545575,36.71252133,"c(-121.6545575, 36.71252133)",Salinas
2310,2014,9/3/14,2014-09-03T14:57:00Z,Wednesday,CAMINO EL ESTERO,FRANKLIN ST,NA,Y,NA,NA,4,0,1,A,NA,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8874999,36.59889009,"c(-121.8874999, 36.59889009)",Monterey
2311,2014,8/27/14,2014-08-27T07:58:00Z,Wednesday,IMJIN PKWY,3RD AV,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,-121.80455,36.66648006,"c(-121.80455, 36.66648006)",Marina
2312,2014,9/11/14,2014-09-11T06:25:00Z,Thursday,68,RAGSDALE DR,W,N,68,H,3,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,MONTEREY,-121.8252701,36.57804745,"c(-121.8252701, 36.57804745)",Monterey
2313,2014,10/10/14,2014-10-10T22:23:00Z,Friday,MADISON ST,VAN BUREN CIR,NA,Y,NA,NA,4,0,3,A,1,NA,C,A,H,C,N,N,N,N,Y,0,0,3,0,0,0,0,0,0,MONTEREY,-121.8986899,36.59715004,"c(-121.8986899, 36.59715004)",Monterey
2314,2014,9/16/14,2014-09-16T18:00:00Z,Tuesday,CALIFORNIA AV,PLAYA AV,NA,Y,NA,NA,4,0,1,B,22,G,B,C,H,A,Y,N,N,N,N,0,0,1,0,1,0,0,0,0,SAND CITY,-121.84342,36.61893009,"c(-121.84342, 36.61893009)",Sand City
2315,2014,10/2/14,2014-10-02T20:25:00Z,Thursday,LOS COCHES RD,THORNE RD,N,N,NA,NA,3,0,2,A,8,E,I,A,H,C,N,N,N,N,N,0,1,1,0,0,0,0,0,0,SOLEDAD,-121.3041083,36.35671818,"c(-121.3041083, 36.35671818)",Other Unincorporated
2316,2014,9/24/14,2014-09-24T19:41:00Z,Wednesday,FRANKLIN,PACIFIC ST,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.89581,36.60019011,"c(-121.89581, 36.60019011)",Monterey
2317,2014,9/29/14,2014-09-29T14:09:00Z,Monday,N FREMONT,CASANOVA AV,W,N,NA,NA,3,0,2,A,3,C,C,A,H,A,N,N,N,N,N,0,1,1,0,0,0,0,0,0,MONTEREY,-121.853364,36.59765,"c(-121.853364, 36.59765)",Monterey
2318,2014,8/9/14,2014-08-09T20:30:00Z,Saturday,1,LITTLE SUR RIVER BR,S,N,1,H,3,0,2,A,3,E,I,A,H,D,N,N,N,N,N,0,2,0,0,0,0,0,0,0,CARMEL,-121.8886601,36.33181782,"c(-121.8886601, 36.33181782)",Other Unincorporated
2319,2014,6/30/14,2014-06-30T16:36:00Z,Monday,SOLEDAD DR,VIA ESPERANZA,NA,Y,NA,NA,4,0,1,A,8,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9043799,36.58537011,"c(-121.9043799, 36.58537011)",Monterey
2320,2014,8/19/14,2014-08-19T13:01:00Z,Tuesday,4TH AV,CARPENTER ST,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,CARMEL,-121.9155899,36.55817009,"c(-121.9155899, 36.55817009)",Carmel-by-the-Sea
2321,2014,8/8/14,2014-08-08T10:09:00Z,Friday,SKYLINE DR,SKYLINE FOREST DR,NA,Y,NA,NA,4,0,1,A,8,E,NA,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.91471,36.58640007,"c(-121.91471, 36.58640007)",Monterey
2322,2014,8/6/14,2014-08-06T15:33:00Z,Wednesday,FRANKLIN ST,MONROE ST,NA,Y,NA,NA,4,0,1,A,21,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.9009599,36.60142007,"c(-121.9009599, 36.60142007)",Monterey
2323,2014,8/4/14,2014-08-04T13:50:00Z,Monday,MADISON ST,LARKIN ST,NA,Y,NA,NA,4,0,2,A,12,D,C,A,C,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,MONTEREY,-121.89988,36.59738009,"c(-121.89988, 36.59738009)",Monterey
2324,2014,8/14/14,2014-08-14T10:53:00Z,Thursday,DEL MONTE AV,ENGLISH AV,NA,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8607199,36.60482009,"c(-121.8607199, 36.60482009)",Monterey
2325,2014,3/8/14,2014-03-08T00:57:00Z,Saturday,ESQUILINE RD,CARMEL VALLEY RD,S,N,NA,NA,1,1,0,A,1,G,B,E,H,D,Y,N,N,N,Y,0,0,0,1,0,0,0,0,0,CARMEL VALLEY,-121.7284439,36.47702506,"c(-121.7284439, 36.47702506)",Carmel Valley
2326,2014,7/22/14,2014-07-22T22:55:00Z,Tuesday,101,MAIN ST,N,N,101,H,1,1,0,A,1,E,I,A,H,C,N,N,N,N,Y,0,0,0,0,0,0,0,0,0,CHUALAR,-121.5227824,36.57396542,"c(-121.5227824, 36.57396542)",Chualar
2327,2015,12/22/15,2015-12-22T18:54:00Z,Tuesday,NORTH SANBORN RD,KILBRETH AV,NA,Y,NA,NA,1,1,0,A,6,G,B,B,H,D,Y,N,N,N,N,0,0,0,1,0,0,0,0,0,SALINAS,-121.6065899,36.69114001,"c(-121.6065899, 36.69114001)",Salinas
2328,2014,8/19/14,2014-08-19T13:48:00Z,Tuesday,WEBSTER ST,MUNRAS AV,W,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8938664,36.59629181,"c(-121.8938664, 36.59629181)",Monterey
2329,2014,8/27/14,2014-08-27T07:27:00Z,Wednesday,IMJIN PW,IMJIN RD,NA,Y,NA,NA,4,0,1,A,2,C,C,A,D,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MARINA,-121.7913699,36.66174009,"c(-121.7913699, 36.66174009)",Marina
2330,2014,9/20/14,2014-09-20T11:54:00Z,Saturday,101,RT 156,N,N,101,H,4,0,3,A,3,C,C,A,H,A,N,N,N,Y,N,0,0,3,0,0,0,0,0,0,SALINAS,-121.6670639,36.79241735,"c(-121.6670639, 36.79241735)",Other Unincorporated
2331,2014,9/20/14,2014-09-20T06:50:00Z,Saturday,STRUVE RD,GIBERSON RD,S,N,NA,NA,4,0,1,A,3,B,C,A,E,B,N,N,N,N,N,0,0,1,0,0,0,0,0,0,ROYAL OAKS,-121.7799832,36.82635068,"c(-121.7799832, 36.82635068)",Royal Oake
2332,2014,9/23/14,2014-09-23T21:00:00Z,Tuesday,SAN JUAN RD,DUNBARTON RD,NA,Y,NA,NA,3,0,2,A,9,D,C,A,H,C,N,N,N,Y,N,0,2,0,0,0,0,0,0,0,AROMAS,-121.6391799,36.85474005,"c(-121.6391799, 36.85474005)",Other Unincorporated
2333,2014,9/23/14,2014-09-23T20:38:00Z,Tuesday,101,PRUNEDALE SOUTH RD,N,N,101,H,3,0,1,A,1,E,I,A,H,C,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,SALINAS,-121.6679692,36.78805606,"c(-121.6679692, 36.78805606)",Other Unincorporated
2334,2014,9/24/14,2014-09-24T05:45:00Z,Wednesday,101,FRONT ST,N,N,101,H,3,0,1,A,3,C,C,A,H,D,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SOLEDAD,-121.3393353,36.43477966,"c(-121.3393353, 36.43477966)",Other Unincorporated
