X1,ACCIDENT_YEAR,COLLISION_DATE,COLLISION_TIME,DAY_OF_WEEK,PRIMARY_RD,SECONDARY_RD,DIRECTION,INTERSECTION,STATE_ROUTE,LOCATION_TYPE,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PRIMARY_COLL_FACTOR,PCF_VIOL_CATEGORY,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_COND_1,LIGHTING,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,ALCOHOL_INVOLVED,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,CITY,lon,lat,geometry,city_new
8220,2018,8/3/18,2018-08-03T14:56:00Z,Friday,VIA LAVANDERA,COSTANOAN DR,S,N,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8823013,36.59241104,"c(-121.8823013, 36.59241104)",Monterey
8221,2018,8/1/18,2018-08-01T06:43:00Z,Wednesday,ABREGO,PEARL,NA,Y,NA,NA,4,0,1,A,12,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8927307,36.5978508,"c(-121.8927307, 36.5978508)",Monterey
8222,2018,6/1/18,2018-06-01T15:57:00Z,Friday,FREMONT BL,HILBY AV,S,N,NA,NA,4,0,1,A,4,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8489685,36.60228729,"c(-121.8489685, 36.60228729)",Seaside
8223,2018,6/9/18,2018-06-09T12:37:00Z,Saturday,KIMBALL AV,WHEELER ST,W,N,NA,NA,4,0,1,A,1,C,E,A,H,NA,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8459549,36.59967804,"c(-121.8459549, 36.59967804)",Seaside
8224,2018,6/18/18,2018-06-18T21:49:00Z,Monday,DEL MONTE BL,CLEMENTINA AV,N,N,NA,NA,2,0,1,A,1,C,E,A,H,C,N,N,N,N,Y,1,0,0,0,0,0,0,0,0,SEASIDE,-121.8452988,36.61365891,"c(-121.8452988, 36.61365891)",Seaside
8225,2018,7/18/18,2018-07-18T14:52:00Z,Wednesday,CASANOVA AV,EUCLID AV,S,N,NA,NA,4,0,1,A,8,C,E,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,MONTEREY,-121.8485336,36.59394073,"c(-121.8485336, 36.59394073)",Monterey
8226,2018,7/17/18,2018-07-17T21:12:00Z,Tuesday,OCEAN VIEW BL,SEA PALM AV,E,N,NA,NA,3,0,1,A,3,C,E,A,H,C,N,N,N,N,Y,0,1,0,0,0,0,0,0,0,PACIFIC GROVE,-121.9217606,36.62813568,"c(-121.9217606, 36.62813568)",Pacific Grove
8227,2018,7/18/18,2018-07-18T09:53:00Z,Wednesday,N FREMONT,CASANOVA,NA,Y,NA,NA,4,0,2,A,12,D,D,A,D,A,N,N,N,N,N,0,0,2,0,0,0,0,0,0,MONTEREY,-121.8532333,36.59767151,"c(-121.8532333, 36.59767151)",Monterey
8228,2018,6/9/18,2018-06-09T06:11:00Z,Saturday,NORTH SANBORN RD,DELMONTE AV,S,N,NA,NA,4,0,1,A,9,D,D,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6113129,36.68837357,"c(-121.6113129, 36.68837357)",Salinas
8229,2018,8/1/18,2018-08-01T18:51:00Z,Wednesday,BELDEN ST,2ND ST,E,N,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,GONZALES,-121.4419479,36.50585175,"c(-121.4419479, 36.50585175)",Gonzales
8230,2018,7/26/18,2018-07-26T15:49:00Z,Thursday,68,CROCKER AV,W,N,NA,NA,3,0,1,A,9,D,G,A,H,A,N,Y,N,N,N,0,1,0,0,0,0,1,0,0,PACIFIC GROVE,-121.9356689,36.61614609,"c(-121.9356689, 36.61614609)",Pacific Grove
8231,2018,6/5/18,2018-06-05T04:50:00Z,Tuesday,218,CANYON DEL REY BL,N,N,218,I,2,0,4,A,1,E,I,A,H,C,N,N,N,N,N,1,1,2,0,0,0,0,0,0,SEASIDE,-121.8557663,36.60762024,"c(-121.8557663, 36.60762024)",Seaside
8232,2018,6/23/18,2018-06-23T01:18:00Z,Saturday,218,FRANCIS AV,NA,Y,218,I,2,0,1,A,11,G,B,D,H,C,Y,N,N,N,Y,1,0,0,0,1,0,0,0,0,SEASIDE,-121.85289,36.60135651,"c(-121.85289, 36.60135651)",Seaside
8233,2018,7/5/18,2018-07-05T16:37:00Z,Thursday,183,CASENTINI ST,NA,Y,183,I,3,0,1,A,5,NA,G,A,H,A,N,Y,N,N,N,0,1,0,0,0,0,1,0,0,SALINAS,-121.6529999,36.68410492,"c(-121.6529999, 36.68410492)",Salinas
8234,2018,7/4/18,2018-07-04T15:02:00Z,Wednesday,EAST BORONDA RD,WILLIAMS RD,NA,Y,NA,NA,3,0,3,A,9,D,C,A,H,A,N,N,N,N,N,0,3,0,0,0,0,0,0,0,SALINAS,-121.5907211,36.68899918,"c(-121.5907211, 36.68899918)",Other Unincorporated
8235,2018,6/30/18,2018-06-30T22:00:00Z,Saturday,DELMONTE AV,CLEMENTINA AV,NA,Y,NA,NA,4,0,1,A,3,C,C,A,H,C,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8490067,36.61127853,"c(-121.8490067, 36.61127853)",Seaside
8236,2018,6/30/18,2018-06-30T14:24:00Z,Saturday,218,DELMONTE BL,NA,Y,NA,NA,4,0,1,A,4,C,C,A,H,A,N,N,Y,N,N,0,0,1,0,0,0,0,0,1,SEASIDE,-121.8560028,36.60762024,"c(-121.8560028, 36.60762024)",Seaside
8237,2018,6/4/18,2018-06-04T20:10:00Z,Monday,MINGO AV,SOTO ST,NA,Y,NA,NA,4,0,3,A,12,D,C,A,H,B,N,N,N,N,N,0,0,3,0,0,0,0,0,0,SEASIDE,-121.830719,36.61183167,"c(-121.830719, 36.61183167)",Seaside
8238,2018,6/2/18,2018-06-02T11:12:00Z,Saturday,SAN LUCAS ST,PALM AV,NA,Y,NA,NA,4,0,1,A,9,D,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SEASIDE,-121.8402634,36.60829926,"c(-121.8402634, 36.60829926)",Seaside
8239,2018,8/4/18,2018-08-04T22:00:00Z,Saturday,OCEAN VIEW BL,11TH ST,NA,NA,NA,NA,3,0,1,C,18,H,G,E,H,D,Y,Y,N,N,N,0,1,0,0,1,0,0,0,0,PACIFIC GROVE,-121.912468,36.62216949,"c(-121.912468, 36.62216949)",Pacific Grove
8240,2018,2/24/18,2018-02-24T19:33:00Z,Saturday,BORONDA RD,NATIVIDAD RD,E,N,NA,NA,3,0,1,A,11,G,B,D,H,C,Y,N,N,N,N,0,1,0,0,1,0,0,0,0,SALINAS,-121.6234512,36.71553421,"c(-121.6234512, 36.71553421)",Salinas
8241,2018,7/3/18,2018-07-03T17:01:00Z,Tuesday,SAN JUAN GRADE RD,BORONDA RD,N,N,NA,NA,4,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,0,1,0,0,0,0,0,0,SALINAS,-121.6511536,36.71981049,"c(-121.6511536, 36.71981049)",Salinas
8242,2018,7/9/18,2018-07-09T02:28:00Z,Monday,CHEROKEE DR,TULANE ST,S,N,NA,NA,4,0,1,A,1,A,E,A,H,C,N,N,N,N,Y,0,0,1,0,0,0,0,0,0,SALINAS,-121.6638412,36.69963074,"c(-121.6638412, 36.69963074)",Salinas
8243,2017,6/22/17,2017-06-22T13:54:00Z,Thursday,DEL MONTE AV,TOWT,NA,Y,NA,NA,4,0,1,A,12,D,G,A,H,A,N,Y,N,N,N,0,0,1,0,0,0,1,0,0,SALINAS,-121.6076499,36.68507005,"c(-121.6076499, 36.68507005)",Salinas
8244,2018,7/2/18,2018-07-02T07:18:00Z,Monday,SOUTH SANBORN RD,JOHN ST,NA,Y,NA,NA,3,0,1,A,12,D,C,A,H,A,N,N,N,Y,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.6277313,36.66930008,"c(-121.6277313, 36.66930008)",Salinas
8245,2018,7/18/18,2018-07-18T17:52:00Z,Wednesday,LAUREL DR,NORTH MAIN ST,NA,Y,NA,NA,3,0,1,A,3,C,C,A,H,A,N,N,N,N,N,0,1,0,0,0,0,0,0,0,SALINAS,-121.6520309,36.69932175,"c(-121.6520309, 36.69932175)",Salinas
